City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
São Roque,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,88.473,Not able to calculate,1,0.5
São Sebastião,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,73942,Not able to calculate,1,0.5
São Vicente,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,333,Not able to calculate,1,0.5
Saratoga Springs,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,28212,Not able to calculate,1,0.5
Seferihisar,Turkey,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,44526,Not able to calculate,1,0.5
Sekhukhune District Municipality,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1076840,Not able to calculate,1,0.5
Sertãozinho,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,125815,Not able to calculate,1,0.5
Sillamäe,Estonia,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,12900,Not able to calculate,1,0.5
Sincelejo,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,275207,Not able to calculate,1,0.5
Singra,Bangladesh,"South and West Asia, Southeast Asia and Oceania",1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,33192,Not able to calculate,1,0.5
Slough Borough Council,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,149400,Not able to calculate,1,0.5
Snoqualmie,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,13670,Not able to calculate,1,0.5
Sopó,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,27932,Not able to calculate,1,0.5
South Barrington,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,4565,Not able to calculate,1,0.5
St Davids,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1800,Not able to calculate,1,0.5
Surfside,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,5811,Not able to calculate,1,0.5
Tangará da Serra,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,83431,Not able to calculate,1,0.5
Tanjungpinang,Indonesia,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,207057,Not able to calculate,1,0.5
Tapalpa,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,19506,Not able to calculate,1,0.5
Tarija,Bolivia (Plurinational State of),Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,261188,Not able to calculate,1,0.5
Tatuì,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,116.296,Not able to calculate,1,0.5
Taurage,Lithuania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,38500,Not able to calculate,1,0.5
Tbilisi,Georgia,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1171,Not able to calculate,1,0.5
Thunder Bay,Canada,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,107909,Not able to calculate,1,0.5
Tiruchirappalli,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1045436,Not able to calculate,1,0.5
Toledo,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,287208,Not able to calculate,1,0.5
Tonalá,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,477117,Not able to calculate,1,0.5
Torreón,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,639629,Not able to calculate,1,0.5
"Town of Guilford, VT",United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2121,Not able to calculate,1,0.5
Tremembé,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,47185,Not able to calculate,1,0.5
Trujillo,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,971116,Not able to calculate,1,0.5
Tupã,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,63476,Not able to calculate,1,0.5
Tuxcueca,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,6000,Not able to calculate,1,0.5
Tuzla,Turkey,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,235000,Not able to calculate,1,0.5
Ulaanbaatar City,Mongolia,East Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1539810,Not able to calculate,1,0.5
Umhlathuze,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,410465,Not able to calculate,1,0.5
Uriangato,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1241,Not able to calculate,1,0.5
Uruapan,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,284264,Not able to calculate,1,0.5
Vadodara,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2240522,Not able to calculate,1,0.5
Vhembe,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1441178,Not able to calculate,1,0.5
Vicente López,Argentina,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,270929,Not able to calculate,1,0.5
Vila Nova de Famalicão,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,133834,Not able to calculate,1,0.5
Ville de Kinshasa,Democratic Republic of the Congo,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,17071000,Not able to calculate,1,0.5
Ville de Maroua,Cameroon,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,700000,Not able to calculate,1,0.5
Visby,Sweden,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,24822,Not able to calculate,1,0.5
Walvis Bay,Namibia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,100000,Not able to calculate,1,0.5
West Coast District Municipality,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,391766,Not able to calculate,1,0.5
West Torrens,Australia,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,60842,Not able to calculate,1,0.5
Wilmington,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,119045,Not able to calculate,1,0.5
Winchester,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,124100,Not able to calculate,1,0.5
Windhoek,Namibia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,322500,Not able to calculate,1,0.5
Winston-Salem,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,246328,Not able to calculate,1,0.5
Wisconsin Rapids,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,18367,Not able to calculate,1,0.5
Wrexham,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Yaoundé 6,Cameroon,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,324734,Not able to calculate,1,0.5
Araraquara,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.5
Alcaldía Metropolitana de Caracas,Venezuela,Latin America,1,0,2015,1,1,0,1,0.5,17774776,0,5.051675813,1,3518590,Increased,0.5,0.5
Hiroshima,Japan,East Asia,1,0,2014,1,1,0,1,0.5,8675437,0,7.283978573,1,1191030,Not able to calculate,0.5,0.5
City of Winnipeg,Canada,North America,1,0,1998,1,1,0,1,0.5,5257325,0,7.318102728,1,718400,Decreased,0.5,0.5
Okayama,Japan,East Asia,1,0,2013,1,1,0,1,0.5,6916000,0,9.797185788,1,705917,Not able to calculate,0.5,0.5
Ferrara,Italy,Europe,1,0,2007,1,1,0,1,0.5,1582605.13,1,11.88543524,0,133155,Decreased,0.5,0.5
Broward,United States of America,North America,1,0,2018,1,2,1,1,1,25207287.83,0,13.13123049,0,1919644,Increased,0,0.5
Greensboro,United States of America,North America,1,0,2013,1,2,1,1,1,4467691,0,15.39404663,0,290222,Decreased,0,0.5
Las Vegas,United States of America,North America,1,0,2019,2,1,1,1,1,29657130,0,43.87337622,0,675971,Decreased,0,0.5
Sonderborg,Denmark,Europe,1,0,2015,1,0,0,1,0.25,1806679,1,24.26831529,0,74446,Not able to calculate,0.5,0.375
Nelson Mandela Bay ,South Africa,Africa,1,0,2014,1,2,0,1,0.75,12232310,0,10.61726477,0,1152115,Increased,0,0.375
District of Columbia,United States of America,North America,1,0,2013,1,2,0,1,0.75,7386407,0,10.98794903,0,672228,Increased,0,0.375
Tucson,United States of America,North America,1,0,2012,1,2,0,1,0.75,6659101,0,12.56801706,0,529845,Decreased,0,0.375
Atlanta,United States of America,North America,1,0,2016,1,2,0,1,0.75,7580504,0,16.8387541,0,450182,Not able to calculate,0,0.375
Nashville and Davidson ,United States of America,North America,1,0,2014,1,2,0,1,0.75,13461292,0,19.82841378,0,678889,Increased,0,0.375
Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,1,1,1,0.75,16892757,0,29.99424183,0,563200,Decreased,0,0.375
Rotterdam,Netherlands,Europe,1,0,2018,1,1,1,1,0.75,34190633,0,53.57513464,0,638181,Decreased,0,0.375
Yilan ,Taiwan,Southeast Asia and Oceania,1,0,2013,1,1,0,1,0.5,8180556.68,0,17.83122667,0,458777,Stayed the same,0,0.25
Incheon ,South Korea,East Asia,1,0,2015,1,1,0,1,0.5,69794140,0,23.39350236,0,2983484,Increased,0,0.25
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
