City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Presidencia Roque Sáenz Peña,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,103703,This is our first year of calculation,1,1.25
Probolinggo,Indonesia,Southeast Asia and Oceania,2,1,2013,1,1,3,1,1.5,Not reported,1,Not reported,1,233123,Not able to calculate,1,1.25
Pronunciamiento,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,3600,This is our first year of calculation,1,1.25
Puerto Madryn,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,108780,This is our first year of calculation,1,1.25
Qingdao,China,East Asia,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,9499800,Increased,1,1.25
Quemú Quemú,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,4305,This is our first year of calculation,1,1.25
Rafaela,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,92945,This is our first year of calculation,1,1.25
Rajshahi City Corporation,Bangladesh,South and West Asia,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,449756,This is our first year of calculation,1,1.25
Ramona,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,2118,This is our first year of calculation,1,1.25
Richmond Council,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,199100,This is our first year of calculation,1,1.25
"Richmond, CA",United States of America,North America,1,0,2012,1,2,3,1,1.5,Not reported,1,Not reported,1,110146,Not able to calculate,1,1.25
Rio Branco,Brazil,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,407319,Not able to calculate,1,1.25
Sacramento,United States of America,North America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,513624,Decreased,1,1.25
Saint Paul,United States of America,North America,5,2,2018,1,2,1,1,1.5,Not reported,1,Not reported,1,300398,Not able to calculate,1,1.25
Salliqueló,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,8714,This is our first year of calculation,1,1.25
San Carlos Sud,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,2233,Increased,1,1.25
"San José, CA",United States of America,North America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,1046079,Decreased,1,1.25
San Justo,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,23943,This is our first year of calculation,1,1.25
San Luis Obispo,United States of America,North America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,47117,Decreased,1,1.25
San Miguel,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,287360,Increased,1,1.25
