Ranking,City,Country,Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGcpProtocolScore,NumberOfGhgReported,GhgScore,Transparency,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,TrajectoryScore,Emissions,Overall
755,JICOSUR,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,147918,Not able to calculate,,60,37.5
755,JISOC,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,344325,Not able to calculate,,60,37.5
755,Joinville,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,590466,Not able to calculate,,60,37.5
755,Juárez,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1391180,Not able to calculate,,60,37.5
755,Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,144000,Not able to calculate,,60,37.5
755,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,Not reported,Not able to calculate,,60,37.5
755,Junta Intermunicipal de Medio Ambiente del Ayuquila Alto,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,Not reported,Not able to calculate,,60,37.5
755,Junta Municipal de Medio Ambiente Lagunas (JIMAL),Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,Not reported,Not able to calculate,,60,37.5
755,Juruena,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Kasama,Zambia,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,350000,Not able to calculate,,60,37.5
755,L'Aquila,Italy,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,69710,Not able to calculate,,60,37.5
755,La Barca,Mexico,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,85000,Not able to calculate,,60,37.5
